Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Season
1,Trae Young,23,ATL,PG,76,76,2652,711,1544,0.46,233,610,0.382,478,934,0.512,0.536,500,553,0.904,50,234,284,737,72,7,303,128,2155,0,"AS,NBA3",2022
2,DeMar DeRozan,32,CHI,PF,76,76,2743,774,1535,0.504,50,142,0.352,724,1393,0.52,0.521,520,593,0.877,56,336,392,374,68,24,181,178,2118,0,"MVP-10,AS,NBA2",2022
3,Joel Embiid,27,PHI,C,68,68,2297,666,1334,0.499,93,251,0.371,573,1083,0.529,0.534,654,803,0.814,146,650,796,284,77,99,214,181,2079,2,"MVP-2,AS,NBA2",2022
4,Jayson Tatum,23,BOS,SF,76,76,2731,708,1564,0.453,230,651,0.353,478,913,0.524,0.526,400,469,0.853,85,524,609,334,75,49,217,174,2046,0,"MVP-6,AS,NBA1",2022
5,Nikola Jokić,26,DEN,C,74,74,2476,764,1311,0.583,97,288,0.337,667,1023,0.652,0.62,379,468,0.81,206,813,1019,584,109,63,281,191,2004,19,"MVP-1,AS,NBA1",2022
6,Giannis Antetokounmpo,27,MIL,PF,67,67,2204,689,1245,0.553,71,242,0.293,618,1003,0.616,0.582,553,766,0.722,134,644,778,388,72,91,219,212,2002,4,"MVP-3,DPOY-6,AS,NBA1,DEF1",2022
7,Luka Dončić,22,DAL,PG,65,65,2301,641,1403,0.457,201,569,0.353,440,834,0.528,0.529,364,489,0.744,56,537,593,568,75,36,292,145,1847,10,"MVP-5,AS,NBA1",2022
8,Devin Booker,25,PHO,SG,68,68,2345,662,1421,0.466,183,478,0.383,479,943,0.508,0.53,315,363,0.868,45,297,342,329,77,26,162,180,1822,0,"MVP-4,AS,NBA1",2022
9,Karl-Anthony Towns,26,MIN,C,74,74,2476,642,1214,0.529,150,366,0.41,492,848,0.58,0.591,384,467,0.822,194,533,727,269,72,83,226,267,1818,1,"AS,NBA3",2022
10,Donovan Mitchell,25,UTA,SG,67,67,2266,617,1376,0.448,232,654,0.355,385,722,0.533,0.533,267,313,0.853,55,227,282,358,99,12,200,164,1733,0,AS,2022
11,LeBron James,37,LAL,C,56,56,2084,640,1221,0.524,161,448,0.359,479,773,0.62,0.59,254,336,0.756,63,396,459,349,73,59,196,121,1695,6,"MVP-10,AS,NBA3",2022
12,Kevin Durant,33,BRK,PF,55,55,2047,578,1115,0.518,115,300,0.383,463,815,0.568,0.57,372,409,0.91,29,378,407,351,48,52,191,113,1643,4,"MVP-10,AS,NBA2",2022
13,Zach LaVine,26,CHI,SG,67,67,2328,565,1186,0.476,185,475,0.389,380,711,0.534,0.554,320,375,0.853,22,286,308,303,41,23,171,120,1635,0,AS,2022
14,Stephen Curry,33,GSW,PG,64,64,2211,535,1224,0.437,285,750,0.38,250,474,0.527,0.554,275,298,0.923,34,301,335,404,85,23,206,130,1630,2,"MVP-8,AS,NBA2",2022
15,Miles Bridges,23,CHO,PF,80,80,2837,596,1214,0.491,154,465,0.331,442,749,0.59,0.554,267,333,0.802,90,469,559,300,74,67,150,193,1613,0,,2022
16,Ja Morant,22,MEM,PG,57,57,1889,580,1177,0.493,88,256,0.344,492,921,0.534,0.53,316,415,0.761,77,248,325,384,66,22,196,86,1564,1,"MVP-7,MIP-1,AS,NBA2",2022
17,Jaylen Brown,25,BOS,SF,66,66,2220,576,1217,0.473,166,464,0.358,410,753,0.544,0.541,241,318,0.758,53,351,404,231,70,18,178,163,1559,2,,2022
18,Pascal Siakam,27,TOR,PF,68,68,2578,596,1207,0.494,75,218,0.344,521,989,0.527,0.525,284,379,0.749,128,452,580,360,85,42,181,225,1551,2,NBA3,2022
19,Anthony Edwards,20,MIN,SG,72,72,2466,549,1245,0.441,215,602,0.357,334,643,0.519,0.527,220,280,0.786,62,281,343,275,105,46,190,164,1533,0,,2022
20,LaMelo Ball,20,CHO,PG,75,75,2422,538,1254,0.429,220,565,0.389,318,689,0.462,0.517,212,243,0.872,108,393,501,571,119,30,245,237,1508,5,AS,2022
21,Darius Garland,22,CLE,PG,68,68,2430,542,1173,0.462,174,454,0.383,368,719,0.512,0.536,215,241,0.892,39,185,224,583,89,7,248,115,1473,1,AS,2022
22,Julius Randle,27,NYK,PF,72,72,2544,512,1246,0.411,120,390,0.308,392,856,0.458,0.459,303,401,0.756,125,591,716,370,53,39,245,205,1447,1,,2022
23,Russell Westbrook,33,LAL,PG,78,78,2678,548,1233,0.444,79,265,0.298,469,968,0.485,0.476,266,399,0.667,110,470,580,550,75,20,295,235,1441,10,,2022
24,Dejounte Murray,25,SAS,PG,68,68,2366,573,1241,0.462,96,294,0.327,477,947,0.504,0.5,196,247,0.794,80,483,563,627,138,23,180,138,1438,13,AS,2022
25,James Harden,32,2TM,PG,65,65,2419,407,992,0.41,148,448,0.33,259,544,0.476,0.485,470,536,0.877,55,445,500,667,82,36,284,153,1432,11,AS,2022
25,James Harden,32,BRK,PG,44,44,1627,292,706,0.414,102,307,0.332,190,399,0.476,0.486,304,350,0.869,42,309,351,447,56,31,212,105,990,9,,2022
25,James Harden,32,PHI,PG,21,21,792,115,286,0.402,46,141,0.326,69,145,0.476,0.483,166,186,0.892,13,136,149,220,26,5,72,48,442,2,,2022
26,Terry Rozier,27,CHO,SG,73,73,2458,518,1167,0.444,222,593,0.374,296,574,0.516,0.539,150,176,0.852,56,259,315,326,93,25,96,119,1408,1,,2022
27,Jordan Poole,22,GSW,SG,76,51,2283,474,1058,0.448,211,580,0.364,263,478,0.55,0.548,246,266,0.925,34,226,260,304,60,23,187,206,1405,0,,2022
28,RJ Barrett,21,NYK,SF,70,70,2417,487,1194,0.408,138,404,0.342,349,790,0.442,0.466,290,406,0.714,66,342,408,208,43,16,151,142,1402,0,,2022
29,Desmond Bane,23,MEM,SG,76,76,2266,508,1101,0.461,228,523,0.436,280,578,0.484,0.565,140,155,0.903,46,288,334,208,92,29,111,196,1384,0,,2022
30,Shai Gilgeous-Alexander,23,OKC,PG,56,56,1942,477,1052,0.453,89,297,0.3,388,755,0.514,0.496,328,405,0.81,37,241,278,331,71,46,154,142,1371,1,,2022
31,CJ McCollum,30,2TM,PG,62,62,2145,536,1164,0.46,182,469,0.388,354,695,0.509,0.539,116,170,0.682,53,216,269,315,70,22,127,121,1370,0,,2022
31,CJ McCollum,30,POR,SG,36,36,1267,290,665,0.436,111,289,0.384,179,376,0.476,0.52,48,68,0.706,34,119,153,163,36,21,70,77,739,0,,2022
31,CJ McCollum,30,NOP,PG,26,26,878,246,499,0.493,71,180,0.394,175,319,0.549,0.564,68,102,0.667,19,97,116,152,34,1,57,44,631,0,,2022
32,De'Aaron Fox,24,SAC,PG,59,59,2083,516,1092,0.473,74,249,0.297,442,843,0.524,0.506,261,348,0.75,25,206,231,330,68,25,168,172,1367,0,,2022
33,Tyler Herro,22,MIA,SG,66,10,2151,501,1122,0.447,175,439,0.399,326,683,0.477,0.525,190,219,0.868,32,297,329,263,44,8,174,95,1367,0,6MOY-1,2022
34,Khris Middleton,30,MIL,SF,66,66,2141,452,1021,0.443,162,434,0.373,290,587,0.494,0.522,259,291,0.89,41,315,356,358,76,18,190,160,1325,0,AS,2022
35,Saddiq Bey,22,DET,SF,82,82,2704,450,1136,0.396,211,610,0.346,239,526,0.454,0.489,210,254,0.827,107,334,441,233,73,16,96,128,1321,0,,2022
36,Fred VanVleet,27,TOR,PG,65,65,2462,442,1097,0.403,242,642,0.377,200,455,0.44,0.513,194,222,0.874,44,245,289,434,111,35,170,162,1320,1,AS,2022
37,Jonas Valančiūnas,29,NOP,C,74,74,2240,510,938,0.544,57,158,0.361,453,780,0.581,0.574,237,289,0.82,226,617,843,190,41,60,179,247,1314,0,,2022
38,Tyrese Maxey,21,PHI,PG,75,74,2650,483,995,0.485,132,309,0.427,351,686,0.512,0.552,213,246,0.866,26,214,240,321,55,32,88,156,1311,0,,2022
39,Nikola Vučević,31,CHI,C,73,73,2418,546,1154,0.473,104,331,0.314,442,823,0.537,0.518,92,121,0.76,142,662,804,236,70,71,136,181,1288,0,,2022
40,Jalen Brunson,25,DAL,SG,79,61,2524,506,1008,0.502,94,252,0.373,412,756,0.545,0.549,179,213,0.84,43,266,309,377,66,3,124,151,1285,0,,2022
41,Gary Trent Jr.,23,TOR,SG,70,69,2448,450,1086,0.414,209,545,0.383,241,541,0.445,0.511,174,204,0.853,26,165,191,141,122,19,73,144,1283,0,,2022
42,Keldon Johnson,22,SAS,SF,75,74,2392,471,1011,0.466,159,399,0.398,312,612,0.51,0.545,177,234,0.756,80,377,457,158,58,14,92,148,1278,0,,2022
43,Jaren Jackson Jr.,22,MEM,PF,78,78,2126,430,1036,0.415,128,401,0.319,302,635,0.476,0.477,284,345,0.823,119,335,454,86,73,177,130,272,1272,0,"DPOY-5,DEF1",2022
44,Jordan Clarkson,29,UTA,SG,79,1,2141,466,1113,0.419,190,597,0.318,276,516,0.535,0.504,144,174,0.828,67,206,273,194,66,16,129,149,1266,0,6MOY-4,2022
45,Harrison Barnes,29,SAC,PF,77,77,2587,391,834,0.469,142,360,0.394,249,474,0.525,0.554,341,413,0.826,82,350,432,186,53,14,118,94,1265,0,,2022
46,Buddy Hield,29,2TM,SG,81,32,2499,446,1098,0.406,262,716,0.366,184,382,0.482,0.526,111,127,0.874,66,287,353,229,73,25,153,184,1265,0,,2022
46,Buddy Hield,29,SAC,SG,55,6,1574,265,693,0.382,182,495,0.368,83,198,0.419,0.514,80,92,0.87,43,178,221,105,48,15,90,113,792,0,,2022
46,Buddy Hield,29,IND,SG,26,26,925,181,405,0.447,80,221,0.362,101,184,0.549,0.546,31,35,0.886,23,109,132,124,25,10,63,71,473,0,,2022
47,Reggie Jackson,31,LAC,SG,75,75,2337,479,1222,0.392,167,512,0.326,312,710,0.439,0.46,138,163,0.847,39,232,271,359,55,15,173,159,1263,0,,2022
48,Tobias Harris,29,PHI,PF,73,73,2543,493,1022,0.482,101,275,0.367,392,747,0.525,0.532,170,202,0.842,77,419,496,252,47,43,116,164,1257,1,,2022
49,Andrew Wiggins,26,GSW,SF,73,73,2329,475,1019,0.466,157,399,0.393,318,620,0.513,0.543,149,235,0.634,85,240,325,161,76,51,111,158,1256,0,AS,2022
50,Bojan Bogdanović,32,UTA,PF,69,69,2131,422,928,0.455,181,468,0.387,241,460,0.524,0.552,223,260,0.858,58,238,296,120,34,1,118,116,1248,0,,2022
51,Brandon Ingram,24,NOP,SF,55,55,1869,453,983,0.461,74,226,0.327,379,757,0.501,0.498,266,322,0.826,35,285,320,307,34,26,151,119,1246,0,,2022
52,Jrue Holiday,31,MIL,PG,67,64,2207,478,954,0.501,132,321,0.411,346,633,0.547,0.57,137,180,0.761,69,232,301,457,108,29,183,133,1225,0,"DPOY-8,DEF2",2022
53,Jimmy Butler,32,MIA,SF,57,57,1931,398,829,0.48,27,116,0.233,371,713,0.52,0.496,396,455,0.87,102,234,336,312,94,27,121,88,1219,4,AS,2022
54,Christian Wood,26,HOU,C,68,67,2094,440,878,0.501,131,336,0.39,309,542,0.57,0.576,207,332,0.623,110,576,686,155,54,65,126,171,1218,0,,2022
55,Franz Wagner,20,ORL,SF,79,79,2429,456,975,0.468,96,271,0.354,360,704,0.511,0.517,189,219,0.863,84,272,356,231,68,34,119,164,1197,0,ROY-5,2022
56,Tyrese Haliburton,21,2TM,PG,77,77,2695,430,909,0.473,161,389,0.414,269,520,0.517,0.562,160,190,0.842,61,250,311,628,134,49,199,121,1181,0,,2022
56,Tyrese Haliburton,21,SAC,SG,51,51,1757,268,586,0.457,104,252,0.413,164,334,0.491,0.546,87,104,0.837,39,160,199,379,86,34,115,71,727,0,,2022
56,Tyrese Haliburton,21,IND,PG,26,26,938,162,323,0.502,57,137,0.416,105,186,0.565,0.59,73,86,0.849,22,90,112,249,48,15,84,50,454,0,,2022
57,D'Angelo Russell,25,MIN,PG,65,65,2077,401,975,0.411,176,518,0.34,225,457,0.492,0.502,198,240,0.825,25,191,216,460,62,22,165,130,1176,0,,2022
